starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 22 15:41:51 2017	1487774511	1	634	635	627
Wed Feb 22 15:41:59 2017	1487774519	1	634	636	619
Wed Feb 22 15:42:06 2017	1487774526	1	634	636	625
Wed Feb 22 15:41:54 2017	1487774514	2	635	637	628
Wed Feb 22 15:42:01 2017	1487774521	1	636	637	629
Wed Feb 22 15:41:58 2017	1487774518	1	636	637	589
Wed Feb 22 15:41:54 2017	1487774514	1	636	637	598
Wed Feb 22 15:41:53 2017	1487774513	1	637	638	595
Wed Feb 22 15:42:11 2017	1487774531	2	637	638	609
Wed Feb 22 15:42:00 2017	1487774520	1	639	640	639
Wed Feb 22 15:42:00 2017	1487774520	1	639	640	632
Wed Feb 22 15:42:00 2017	1487774520	1	640	641	607
Wed Feb 22 15:41:56 2017	1487774516	1	646	647	606
Wed Feb 22 15:42:06 2017	1487774526	1	646	647	615
Wed Feb 22 15:41:56 2017	1487774516	2	646	647	600
Wed Feb 22 15:42:09 2017	1487774529	1	646	647	646
Wed Feb 22 15:42:09 2017	1487774529	1	646	648	616
Wed Feb 22 15:41:56 2017	1487774516	1	646	648	616
Wed Feb 22 15:41:41 2017	1487774501	2	648	650	606
Wed Feb 22 15:41:52 2017	1487774512	1	649	651	642
Wed Feb 22 15:41:53 2017	1487774513	2	649	651	586
Wed Feb 22 15:41:52 2017	1487774512	1	649	651	643
Wed Feb 22 15:42:07 2017	1487774527	1	654	655	643
Wed Feb 22 15:42:11 2017	1487774531	2	654	655	631
Wed Feb 22 15:41:54 2017	1487774514	1	660	662	644
Wed Feb 22 15:42:00 2017	1487774520	1	661	663	622
Wed Feb 22 15:41:53 2017	1487774513	2	661	663	621
Wed Feb 22 15:41:54 2017	1487774514	1	662	663	660
Wed Feb 22 15:42:01 2017	1487774521	1	662	663	641
Wed Feb 22 15:41:54 2017	1487774514	1	663	665	637
Wed Feb 22 15:41:53 2017	1487774513	2	663	665	639
Wed Feb 22 15:42:07 2017	1487774527	1	664	665	638
Wed Feb 22 15:41:59 2017	1487774519	2	664	665	616
Wed Feb 22 15:41:52 2017	1487774512	1	667	668	633
Wed Feb 22 15:41:55 2017	1487774515	1	667	668	644
Wed Feb 22 15:41:53 2017	1487774513	1	667	669	617
Wed Feb 22 15:41:57 2017	1487774517	2	668	670	654
Wed Feb 22 15:42:09 2017	1487774529	2	668	670	631
Wed Feb 22 15:41:57 2017	1487774517	1	669	670	644
Wed Feb 22 15:41:53 2017	1487774513	1	669	670	616
Wed Feb 22 15:41:57 2017	1487774517	1	670	671	655
Wed Feb 22 15:41:47 2017	1487774507	2	669	671	617
Wed Feb 22 15:41:53 2017	1487774513	1	670	671	631
Wed Feb 22 15:42:11 2017	1487774531	1	670	671	617
Wed Feb 22 15:42:00 2017	1487774520	1	672	673	656
Wed Feb 22 15:41:43 2017	1487774503	1	672	673	665
Wed Feb 22 15:41:55 2017	1487774515	2	672	674	610
Wed Feb 22 15:41:54 2017	1487774514	1	673	675	649
Wed Feb 22 15:41:53 2017	1487774513	1	674	675	634
Wed Feb 22 15:41:55 2017	1487774515	1	674	675	620
Wed Feb 22 15:42:11 2017	1487774531	2	674	676	667
Wed Feb 22 15:41:59 2017	1487774519	1	675	676	664
Wed Feb 22 15:42:11 2017	1487774531	1	678	679	668
Wed Feb 22 15:41:55 2017	1487774515	2	679	680	631
Wed Feb 22 15:41:59 2017	1487774519	1	680	681	627
